492	1F468 200D 1F466 200D 1F466	👨‍👦‍👦
493	1F468 200D 1F467	👨‍👧
494	1F468 200D 1F467 200D 1F466	👨‍👧‍👦
495	1F468 200D 1F467 200D 1F467	👨‍👧‍👧
496	1F469 200D 1F466	👩‍👦
497	1F469 200D 1F466 200D 1F466	👩‍👦‍👦
498	1F469 200D 1F467	👩‍👧
499	1F469 200D 1F467 200D 1F466	👩‍👧‍👦
500	1F469 200D 1F467 200D 1F467	👩‍👧‍👧
person-symbol		
№	Code	Browser
501	1F5E3	🗣
502	1F464	👤
503	1F465	👥
504	1FAC2	🫂
505	1F463	👣
Component		
hair-style		
№	Code	Browser
506	1F9B0	🦰
507	1F9B1	🦱
508	1F9B3	🦳
509	1F9B2	🦲
Animals & Nature		
animal-mammal		
№	Code	Browser
510	1F435	🐵
511	1F412	🐒
512	1F98D	🦍
513	1F9A7	🦧
514	1F436	🐶
515	1F415	🐕
516	1F9AE	🦮
517	1F415 200D 1F9BA	🐕‍🦺
518	1F429	🐩
519	1F43A	🐺
520	1F98A	🦊
521	1F99D	🦝
522	1F431	🐱
523	1F408	🐈
524	1F408 200D 2B1B	🐈‍⬛
525	1F981	🦁
526	1F42F	🐯
527	1F405	🐅
528	1F406	🐆
529	1F434	🐴
№	Code	Browser
530	1F40E	🐎
531	1F984	🦄
532	1F993	🦓
533	1F98C	🦌
534	1F9AC	🦬
535	1F42E	🐮
536	1F402	🐂
537	1F403	🐃
538	1F404	🐄
539	1F437	🐷
540	1F416	🐖
541	1F417	🐗
542	1F43D	🐽
543	1F40F	🐏
544	1F411	🐑
545	1F410	🐐
546	1F42A	🐪
547	1F42B	🐫
548	1F999	🦙
549	1F992	🦒
№	Code	Browser
550	1F418	🐘
551	1F9A3	🦣
552	1F98F	🦏
553	1F99B	🦛
554	1F42D	🐭
555	1F401	🐁
556	1F400	🐀
557	1F439	🐹
558	1F430	🐰
559	1F407	🐇
560	1F43F	🐿
561	1F9AB	🦫
562	1F994	🦔
563	1F987	🦇
564	1F43B	🐻
565	1F43B 200D 2744 FE0F	🐻‍❄️
566	1F428	🐨
567	1F43C	🐼
568	1F9A5	🦥
569	1F9A6	🦦
№	Code	Browser
570	1F9A8	🦨
571	1F998	🦘
572	1F9A1	🦡
573	1F43E	🐾
animal-bird		
№	Code	Browser
574	1F983	🦃
575	1F414	🐔
576	1F413	🐓
577	1F423	🐣
578	1F424	🐤
579	1F425	🐥
580	1F426	🐦
581	1F427	🐧
582	1F54A	🕊
583	1F985	🦅
584	1F986	🦆
585	1F9A2	🦢
586	1F989	🦉
587	1F9A4	🦤
588	1FAB6	🪶
589	1F9A9	🦩
590	1F99A	🦚
591	1F99C	🦜
animal-amphibian		
№	Code	Browser
592	1F438	🐸
